Price,Size,Address,Price Per Square Meter,Price Per Square Meter Integer,Latitude,Longitude
da € 833.000,da 98 m²,Appartamenti di nuova costruzione a Milano,€8500 / m^2,8500,41.9455546,11.6786466
da € 720.000,da 107 m²,Appartamenti di nuova costruzione a Milano,€6729 / m^2,6729,41.9455546,11.6786466
€ 380.000,80 m²,"Trilocale via Vigilio Inama 20, Città Studi, Milano",€4750 / m^2,4750,45.4723574,9.2326097
"€ 240.000€ 280.000(-14,3%)",56 m²,"Bilocale via Sebastiano del Piombo 23, Monte Rosa - Lotto, Milano",€4286 / m^2,4286,45.4780626,9.1476764
€ 1.820.000,180 m²,"Quadrilocale via Francesco Melzi d'Eril, Paolo Sarpi, Milano",€10111 / m^2,10111,45.4790423,9.1712282
€ 495.000,65 m²,"Bilocale via Cola di Rienzo 48, Solari, Milano",€7615 / m^2,7615,45.4548537,9.1556411
€ 720.000,100 m²,"Trilocale via Guglielmo Silva 33, Monte Rosa - Lotto, Milano",€7200 / m^2,7200,45.4787369,9.1478506
€ 795.000,130 m²,"Trilocale piazza Gian Lorenzo Bernini, Città Studi, Milano",€6115 / m^2,6115,45.4801329,9.2236279
€ 395.000,50 m²,"Bilocale via Giovanni Battista Bertini 18, Paolo Sarpi, Milano",€7900 / m^2,7900,45.4827833,9.1706888
da € 335.000,da 68 m²,Appartamenti di nuova costruzione a Milano,€4926 / m^2,4926,41.9455546,11.6786466
da € 339.000,da 56 m²,Appartamenti di nuova costruzione a Milano,€6054 / m^2,6054,41.9455546,11.6786466
da € 399.000,da 56 m²,Ville a schiera e Appartamenti di nuova costruzione a Milano,€7125 / m^2,7125,45.5060653,9.1783672
€ 290.000,68 m²,"Bilocale piazzale Lugano 9, Ghisolfa - Mac Mahon, Milano",€4265 / m^2,4265,45.4955191,9.162413
€ 754.000,113 m²,"Trilocale via dei Rospigliosi 41, San Siro, Milano",€6673 / m^2,6673,45.4760239,9.1277604
€ 560.000,125 m²,"Trilocale via Inverigo 4, Certosa, Milano",€4480 / m^2,4480,45.494277,9.1335865
€ 495.000,60 m²,"Bilocale via Bergamo 12, Montenero, Milano",€8250 / m^2,8250,45.4566143,9.2081057
€ 592.000,125 m²,"Trilocale via Inverigo 4, Certosa, Milano",€4736 / m^2,4736,45.494277,9.1335865
€ 536.000,138 m²,"Quadrilocale via Eritrea 62, Quarto Oggiaro, Milano",€3884 / m^2,3884,45.5117976,9.1373487
€ 450.000,99 m²,"Trilocale via Elio Adriano 1, Ponte Nuovo, Milano",€4545 / m^2,4545,45.5083419,9.237717
da € 255.000,da 70 m²,Attici e Appartamenti di nuova costruzione a Milano,€3643 / m^2,3643,45.4751264,9.1733071
€ 360.000,110 m²,"Trilocale via Trasimeno, Quartiere Adriano, Milano",€3273 / m^2,3273,45.5148065,9.2497611
€ 690.000,136 m²,"Quadrilocale viale Andrea Doria 17, Centrale, Milano",€5074 / m^2,5074,45.4859934,9.2111678
€ 409.000,66 m²,"Bilocale via Giulio Belinzaghi 14, Farini, Milano",€6197 / m^2,6197,45.4920083,9.186675
€ 675.000,123 m²,"Quadrilocale via Cardinale Giovanni Cagliero 3, Maggiolina, Milano",€5488 / m^2,5488,45.4944547,9.2056907
€ 1.075.000,125 m²,"Trilocale via Giovanni da Procida, Sempione, Milano",€8600 / m^2,8600,45.4805033,9.1616787
